type	x	y	z	density
t = 0
0	1	15	0	1.135699
0	1	15	1	2.405010
0	1	15	2	1.770355
0	1	15	3	2.538622
0	1	15	4	1.870564
0	1	15	5	1.469729
0	1	15	6	1.169102
0	1	15	7	0.434238
0	1	15	8	0.434238
0	1	15	9	0.801670
0	1	15	10	0.066806
0	1	15	11	0.668058
0	1	15	12	0.601253
0	1	15	13	0.634656
0	1	15	14	1.102296
0	1	15	15	2.572025
0	1	15	16	1.703549
0	1	15	17	1.436326
0	1	15	18	2.304802
0	1	15	19	1.903967
0	1	16	0	1.102296
0	1	16	1	0.868476
0	1	16	2	0.668058
0	1	16	3	1.369520
0	1	16	4	0.300626
0	1	16	5	0.534447
0	1	16	6	0.467641
0	1	16	7	0.233820
0	1	16	8	0.400835
0	1	16	9	0.634656
0	1	16	10	0.567850
0	1	16	11	0.768267
0	1	16	12	0.868476
0	1	16	13	0.835073
0	1	16	14	0.835073
0	1	16	15	1.569937
0	1	16	16	1.870564
0	1	16	17	1.269311
0	1	16	18	1.536534
0	1	16	19	2.137787
0	1	17	0	0.835073
0	1	17	1	0.334029
0	1	17	2	0.567850
0	1	17	3	0.768267
0	1	17	4	0.334029
0	1	17	5	0.300626
0	1	17	6	0.100209
0	1	17	7	1.135699
0	1	17	8	0.868476
0	1	17	9	0.634656
0	1	17	10	0.801670
0	1	17	11	0.367432
0	1	17	12	0.434238
0	1	17	13	1.235908
0	1	17	14	1.636743
0	1	17	15	1.770355
0	1	17	16	2.438413
0	1	17	17	2.638831
0	1	17	18	2.572025
0	1	17	19	1.703549
0	1	18	0	0.601253
0	1	18	1	0.200418
0	1	18	2	0.300626
0	1	18	3	0.267223
0	1	18	4	0.200418
0	1	18	5	0.267223
0	1	18	6	0.233820
0	1	18	7	0.901879
0	1	18	8	1.469729
0	1	18	9	1.402923
0	1	18	10	1.736952
0	1	18	11	0.668058
0	1	18	12	0.701461
0	1	18	13	1.636743
0	1	18	14	1.369520
0	1	18	15	1.402923
0	1	18	16	1.870564
0	1	18	17	2.171190
0	1	18	18	1.736952
0	1	18	19	0.434238
0	1	19	0	0.000000
0	1	19	1	0.267223
0	1	19	2	0.267223
0	1	19	3	0.734864
0	1	19	4	0.467641
0	1	19	5	0.367432
0	1	19	6	0.968685
0	1	19	7	1.770355
0	1	19	8	1.302714
0	1	19	9	1.703549
0	1	19	10	1.770355
0	1	19	11	1.002088
0	1	19	12	1.068894
0	1	19	13	0.968685
0	1	19	14	1.503132
0	1	19	15	1.235908
0	1	19	16	0.835073
0	1	19	17	0.935282
0	1	19	18	0.734864
0	1	19	19	0.133612
0	2	0	0	0.467641
0	2	0	1	0.066806
0	2	0	2	0.133612
0	2	0	3	0.000000
0	2	0	4	0.367432
0	2	0	5	1.636743
0	2	0	6	1.903967
0	2	0	7	2.805846
0	2	0	8	1.736952
0	2	0	9	1.569937
0	2	0	10	0.868476
0	2	0	11	1.235908
0	2	0	12	1.336117
0	2	0	13	1.536534
0	2	0	14	1.102296
0	2	0	15	0.768267
0	2	0	16	0.901879
0	2	0	17	1.402923
0	2	0	18	2.037578
0	2	0	19	1.202505
0	2	1	0	0.167015
0	2	1	1	0.200418
0	2	1	2	0.033403
0	2	1	3	0.033403
0	2	1	4	1.402923
0	2	1	5	1.870564
0	2	1	6	0.701461
0	2	1	7	1.469729
0	2	1	8	1.169102
0	2	1	9	1.402923
0	2	1	10	1.202505
0	2	1	11	0.634656
0	2	1	12	1.736952
0	2	1	13	1.870564
0	2	1	14	0.334029
0	2	1	15	0.367432
0	2	1	16	0.734864
0	2	1	17	1.002088
0	2	1	18	1.870564
0	2	1	19	0.768267
0	2	2	0	0.267223
0	2	2	1	0.367432
0	2	2	2	0.734864
0	2	2	3	0.634656
0	2	2	4	0.601253
0	2	2	5	0.200418
0	2	2	6	0.233820
0	2	2	7	0.334029
0	2	2	8	0.968685
0	2	2	9	0.668058
0	2	2	10	0.634656
0	2	2	11	0.200418
0	2	2	12	0.367432
0	2	2	13	0.901879
0	2	2	14	0.935282
0	2	2	15	0.534447
0	2	2	16	0.501044
0	2	2	17	0.734864
0	2	2	18	1.235908
0	2	2	19	0.434238
0	2	3	0	0.768267
0	2	3	1	1.169102
0	2	3	2	1.269311
0	2	3	3	2.104384
0	2	3	4	0.668058
0	2	3	5	1.135699
0	2	3	6	1.336117
0	2	3	7	0.434238
0	2	3	8	0.501044
0	2	3	9	1.302714
0	2	3	10	1.068894
0	2	3	11	0.467641
0	2	3	12	0.835073
